Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,512,16,8192,4194304,4202496,4.899705048029621,857703.8737648099,3.265502687030983
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,512,16,16384,4194304,4210688,6.4246406912182765,655396.652104687,2.4904116461905965
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,512,16,32768,4194304,4227072,15.157377137802541,278878.85625394055,1.0555916010096467
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,1024,16,4096,16777216,16781312,4.716171861005326,3558248.616585147,3.392582049923293
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,1024,16,8192,16777216,16785408,6.592934861779213,2545969.0338075296,2.426840297293963
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,1024,16,16384,16777216,16793600,8.680093293388685,1934725.7491795716,1.8432981604226102
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,1024,16,32768,16777216,16809984,7.039315873446564,2388013.8783670687,2.2729481511626126
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,128,32,8192,524288,532480,11.952663191594183,44549.06755629752,2.677227617565957
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,128,32,16384,524288,540672,11.479538125606874,47098.759034037095,2.78756859813193
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,128,32,32768,524288,557056,16.09033778185646,34620.528639749195,1.9887711764561806
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,128,32,65536,524288,589824,15.43511151211957,38213.135003065785,2.073195258412857
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,256,32,8192,2097152,2105344,10.797427757022282,194985.69912919818,2.9636688218810523
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,256,32,16384,2097152,2113536,10.991639002847174,192285.79099554932,2.9113037638618784
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,256,32,32768,2097152,2129920,12.29562614733974,173225.8263610939,2.602551477780858
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,256,32,65536,2097152,2162688,30.266949074342847,71453.78262896344,1.0572588575545017
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,512,32,8192,8388608,8396800,12.076410604640841,695305.937740573,2.649793970047915
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,512,32,16384,8388608,8404992,11.286822533545395,744673.0003080716,2.835164627147568
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,512,32,32768,8388608,8421376,16.30717881085972,516421.3931591777,1.9623259406887528
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,512,32,65536,8388608,8454144,14.537707938502232,581532.1119232087,2.201172298643444
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,1024,32,8192,33554432,33562624,8.737621738575399,3841162.389969988,3.6623237944398985
