Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput
Nvidia A100 GPU,4,vLLM,allenai/Molmo-7B-D-0924,1024,1024,256,1,2048,65536,67584,0.3234837607791026,208925.48002170376,3.091345289146895
Nvidia A100 GPU,4,vLLM,allenai/Molmo-7B-D-0924,128,128,512,1,256,262144,262400,0.333179397508502,787563.7028045953,3.0013860625175126
Nvidia A100 GPU,4,vLLM,allenai/Molmo-7B-D-0924,256,256,512,1,512,262144,262656,0.3513649996990959,747530.3465767363,2.8460432907557274
Nvidia A100 GPU,4,vLLM,allenai/Molmo-7B-D-0924,512,512,512,1,1024,262144,263168,0.8080456564202905,325684.56733726675,1.2375538338143952
Nvidia A100 GPU,4,vLLM,allenai/Molmo-7B-D-0924,1024,1024,512,1,2048,262144,264192,0.3442932730540633,767345.8085790562,2.90450054724994
Nvidia A100 GPU,4,vLLM,allenai/Molmo-7B-D-0924,128,128,1024,1,256,1048576,1048832,0.761839767297109,1376709.4407805668,1.3126119729189867
Nvidia A100 GPU,4,vLLM,allenai/Molmo-7B-D-0924,256,256,1024,1,512,1048576,1049088,0.4017729110394915,2611146.673093851,2.488968201994352
Nvidia A100 GPU,4,vLLM,allenai/Molmo-7B-D-0924,512,512,1024,1,1024,1048576,1049600,1.021996774089833,1027009.1125627571,0.9784766697434805
Nvidia A100 GPU,4,vLLM,allenai/Molmo-7B-D-0924,1024,1024,1024,1,2048,1048576,1050624,0.4478774539505442,2345784.5237193224,2.2327536052092114




