Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,128,128,512,32,8192,8388608,8396800,0.7615735186263919,11025593.451758727,42.01826772773905
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,256,256,512,32,16384,8388608,8404992,0.5565473111346364,15102026.06650761,57.497358013933095
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,512,512,512,32,32768,8388608,8421376,1.5786548710117738,5334526.345586015,20.270421729032464
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,1024,1024,512,32,65536,8388608,8454144,2.6710762499521175,3165070.259657152,11.980189633513323
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,128,128,1024,32,8192,33554432,33562624,0.7850644076243043,42751427.36576784,40.76098685563354
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,256,256,1024,32,16384,33554432,33570816,1.1796757271513343,28457664.44738706,27.12609852308582
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,512,512,1024,32,32768,33554432,33587200,0.7547467869396011,44501282.52442343,42.39832557586073
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,1024,1024,1024,32,65536,33554432,33619968,0.7280737624193231,46176596.02000201,43.951590692771155
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,128,128,128,64,16384,1048576,1064960,0.8220034207527837,1295566.384656549,77.8585567702253
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,256,256,128,64,32768,1048576,1081344,0.8937907724951705,1209840.1922199784,71.60512501301956
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,512,512,128,64,65536,1048576,1114112,0.9616205925121903,1158577.5186962592,66.55431518245975
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,1024,1024,128,64,131072,1048576,1179648,0.8213021696234742,1436314.2380846373,77.92503461830715
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,128,128,256,64,16384,4194304,4210688,1.1924677916492026,3531070.633091523,53.67021268682397
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,256,256,256,64,32768,4194304,4227072,0.8357239933684468,5057976.118362327,76.58030702462341
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,512,512,256,64,65536,4194304,4259840,0.833184472595652,5112721.3001571605,76.81372145668811
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,1024,1024,256,64,131072,4194304,4325376,3.0455130509411297,1420245.4324283276,21.014521668269524
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,128,128,512,64,16384,16777216,16793600,0.9393205043549339,17878455.67316002,68.13435851051837
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,256,256,512,64,32768,16777216,16809984,1.4591536425674956,11520365.991357505,43.86104254750512
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,512,512,512,64,65536,16777216,16842752,1.2911618280534942,13044648.342331715,49.56776029886504
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,1024,1024,512,64,131072,16777216,16908288,0.9466673998783032,17860853.772057228,67.60558144098697
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,128,128,1024,64,16384,67108864,67125248,1.4135430656994383,47487232.351697475,45.27630006683385
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,256,256,1024,64,32768,67108864,67141632,1.3455539600302775,49898877.335613646,47.564053097179304
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,512,512,1024,64,65536,67108864,67174400,1.341025779955089,50091803.60593043,47.72466044772335
Nvidia A100 GPU,1,vLLM,google/paligemma-3b-mix-224,1024,1024,1024,64,131072,67108864,67239936,3.4695669024561844,19379922.01631833,18.446106329494025
