Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,256,32,32768,2097152,2129920,3.603796170093119,591021.2174805005,8.879525503012326
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,256,32,65536,2097152,2162688,4.6360434250285225,466494.33616698586,6.902437502470789
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,512,32,8192,8388608,8396800,2.9538865626479187,2842627.779339283,10.833185134677144
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,512,32,16384,8388608,8404992,3.2891281777992845,2555385.9702797225,9.729021877587881
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,512,32,32768,8388608,8421376,3.711436314508319,2269034.219199755,8.621998948199458
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,512,32,65536,8388608,8454144,4.897096958942711,1726358.3038848508,6.53448364781996
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,1024,32,8192,33554432,33562624,3.3831653855741024,9920479.839121027,9.458597601065783
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,1024,32,16384,33554432,33570816,3.5172465393940606,9544629.761945397,9.0980258681306
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,1024,32,32768,33554432,33587200,6.761133616479735,4967687.6549420385,4.732934122467643
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,1024,32,65536,33554432,33619968,4.882282853436966,6886116.394574036,6.554310956701956
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,128,64,16384,1048576,1064960,5.238330901910861,203301.39885044668,12.217632142454727
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,128,64,32768,1048576,1081344,6.3897465753058595,169231.1247802874,10.016046684439358
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,128,64,65536,1048576,1114112,7.962277461464207,139923.7850466872,8.037901254979735
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,128,64,131072,1048576,1179648,9.527745154686272,123811.8758266518,6.71722416594248
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,256,64,16384,4194304,4210688,5.10558351719131,824722.1861755752,12.535295874507161
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,256,64,32768,4194304,4227072,5.785930193029344,730577.7738370585,11.061315616476781
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,256,64,65536,4194304,4259840,11.592406385578215,367468.13891027373,5.520855452377911
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,256,64,131072,4194304,4325376,9.059766185159484,477426.89067243936,7.064199968519759
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,512,64,16384,16777216,16793600,5.341743935520451,3143842.1988611827,11.981105940781946
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,512,64,32768,16777216,16809984,5.9004157728826,2848949.0651245443,10.846693260860382
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,512,64,65536,16777216,16842752,12.697985112977525,1326411.3833923512,5.040169714373903
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,512,64,131072,16777216,16908288,9.225651294303438,1832747.3541559456,6.937179604817502
